,ra,dec,u,g,r,i,z,Y
120,31.9599583333333,31.3717222222222,False,False,True,False,False,False
121,166.711004166667,21.87,False,True,True,False,True,False
122,344.154,23.9203333333333,False,True,False,False,False,False
123,32.8570041666667,21.974,False,True,True,False,True,False
124,161.80375,10.3896111111111,False,False,True,False,False,False
125,10.2785833333333,-8.61144444444444,False,True,False,False,False,False
126,339.531,32.324,False,True,True,False,True,False
127,325.480995833333,20.515,False,True,False,False,True,False
128,167.71975,29.437,False,False,False,False,True,False
129,340.543995833333,12.011,False,True,True,False,True,False
130,342.723541666667,28.6086111111111,False,True,False,False,False,False
131,331.324041666667,-10.8410833333333,False,False,True,False,False,False
132,39.1367083333333,8.07319444444444,False,False,True,False,False,False
133,337.000995833333,12.194,False,True,False,False,True,False
134,235.309995833333,30.708,False,True,True,False,True,False
135,318.157995833333,-7.969,False,False,True,False,False,False
136,8.465625,21.468,False,True,False,False,False,False
137,118.928208333333,23.562,False,True,False,False,False,False
138,144.532208333333,11.0429444444444,False,True,False,False,False,False
139,199.180041666667,25.6671388888889,False,True,False,False,False,False
140,23.1827916666667,19.9161944444444,False,False,False,False,True,False
141,258.08625,28.3739722222222,False,True,False,False,False,False
142,65.8674166666667,-14.9322777777778,False,True,False,False,False,False
143,335.416995833333,9.204,False,True,False,False,False,False
144,218.632004166667,-4.822,False,False,True,False,False,False
145,356.555958333333,4.27513888888889,False,False,True,False,False,False
146,170.726166666667,15.6673055555556,False,False,True,False,False,False
147,222.055208333333,9.50125,False,False,True,False,False,False
148,227.866375,25.8361944444444,False,False,False,False,True,False
149,179.650004166667,5.432,False,True,True,False,False,False
150,252.529583333333,21.3563888888889,False,True,False,False,False,False
151,264.297333333333,17.3388611111111,False,True,False,False,False,False
152,358.717125,-4.04558333333333,False,True,False,False,False,False
153,175.300125,8.40430555555556,False,True,False,False,False,False
154,354.572333333333,24.1325833333333,False,True,False,False,False,False
155,170.305333333333,-8.74144444444444,False,False,True,False,False,False
156,174.073625,2.68747222222222,False,False,True,False,False,False
157,231.862125,29.8034444444444,False,True,False,False,False,False
158,32.54725,21.9035,False,True,False,False,False,False
159,342.28475,-4.36444444444444,False,False,True,False,False,False
160,9.94999583333333,30.703,False,True,True,False,False,False
161,355.453916666667,31.3395555555556,False,True,False,False,False,False
162,181.546833333333,13.7591111111111,False,False,False,False,True,False
163,175.632541666667,-2.88702777777778,False,False,False,False,True,False
164,1.627125,27.8040833333333,False,False,True,False,False,False
165,15.15325,16.1842777777778,False,True,False,False,False,False
166,27.934625,20.1553333333333,False,False,True,False,False,False
167,26.3462916666667,23.1730277777778,False,True,False,False,False,False
168,196.212666666667,-3.08177777777778,False,False,False,False,True,False
169,215.966791666667,15.6628055555556,False,False,False,False,True,False
170,217.70775,15.6859444444444,False,False,False,False,True,False
171,192.344458333333,-5.87266666666667,False,False,False,False,True,False
172,191.754666666667,-7.33825,False,False,False,False,True,False
173,136.766125,30.8652222222222,False,False,True,False,False,False
174,212.223958333333,12.4503888888889,False,False,False,False,True,False
175,249.474166666667,27.0225555555556,False,False,False,False,True,False
176,251.419958333333,26.3420555555556,False,False,False,False,True,False
177,209.545791666667,10.7965555555556,False,False,False,False,True,False
178,197.119333333333,-4.58055555555556,False,False,False,False,True,False
179,258.354833333333,26.7055555555556,False,False,False,False,True,False
180,224.086333333333,21.6516944444444,False,False,False,False,True,False
181,203.247333333333,2.9185,False,False,False,False,True,False
182,227.562875,21.408,False,False,False,False,True,False
183,263.785,20.8505555555556,False,False,False,False,True,False
184,327.158666666667,-3.16905555555556,False,False,False,False,True,False
185,268.656291666667,20.0254444444444,False,False,False,False,True,False
186,271.890125,21.77575,False,False,False,False,True,False
187,273.687916666667,26.07575,False,False,False,False,True,False
188,270.253416666667,24.3779166666667,False,False,False,False,True,False
189,273.615791666667,24.3621666666667,False,False,False,False,True,False
190,277.430916666667,29.4016388888889,False,False,False,False,True,False
191,319.00175,3.23222222222222,False,False,False,False,True,False
192,325.205041666667,-9.52247222222222,False,False,False,False,True,False
193,326.146916666667,-7.92822222222222,False,False,False,False,True,False
194,177.790625,-0.129333333333333,False,True,False,False,False,False
195,148.594004166667,-1.694,False,True,False,False,True,False
196,216.550333333333,-6.45533333333333,False,False,False,False,True,False
197,56.6920041666667,-10.151,False,True,False,False,False,False
198,310.861995833333,1.72,False,True,True,False,True,False
199,238.943458333333,4.08638888888889,False,False,False,False,True,False
200,198.492,10.467,False,False,False,False,True,False
201,192.0545,27.7114166666667,False,True,False,False,False,False
202,123.112916666667,8.60052777777778,False,False,False,False,True,False
203,325.696004166667,-4.079,False,True,False,False,False,False
204,133.450004166667,32.04,False,True,False,False,True,False
205,160.888208333333,28.8324166666667,False,True,False,False,False,False
206,317.0795,4.94863888888889,False,True,False,False,False,False
207,8.971,17.188,False,True,False,False,True,False
208,326.091375,3.29630555555556,False,True,False,False,False,False
209,337.789416666667,13.6713055555556,False,True,False,False,False,False
210,324.12475,-9.44727777777778,False,True,False,False,False,False
211,153.511,12.358,False,True,True,False,True,False
212,9.76479166666667,12.9505555555556,False,False,True,False,False,False
213,349.933995833333,11.57,False,True,False,False,False,False
214,313.16775,3.34544444444444,False,False,True,False,False,False
215,193.827041666667,2.92377777777778,False,True,False,False,False,False
216,35.675375,12.7673888888889,False,False,False,False,True,False
217,61.7945833333333,-11.9218333333333,False,True,False,False,False,False
218,165.20325,-7.34975,False,True,False,False,False,False
219,338.753958333333,30.8540555555556,False,True,False,False,False,False
220,212.9405,6.33263888888889,False,True,False,False,False,False
221,344.963708333333,3.08236111111111,False,False,False,False,True,False
222,114.697916666667,25.0391111111111,False,False,True,False,False,False
223,145.297166666667,-1.70586111111111,False,False,False,False,True,False
224,129.702,26.961,False,True,True,False,True,False
225,169.169791666667,4.24352777777778,False,False,True,False,False,False
226,175.194416666667,28.1246944444444,False,True,False,False,False,False
227,143.593995833333,4.698,False,True,True,False,True,False
228,210.37725,4.71169444444444,False,True,False,False,False,False
229,154.484,24.68,False,True,True,False,True,False
230,210.5245,23.2499166666667,False,False,False,False,True,False
231,40.4894166666667,8.02394444444445,False,True,False,False,False,False
232,30.4969958333333,7.848,False,True,True,False,False,False
233,336.92725,7.76466666666667,False,True,False,False,False,False
234,29.8810041666667,6.335,False,True,True,False,False,False
235,150.659375,12.3861388888889,False,False,False,False,True,False
236,266.559,31.119,False,True,False,False,False,False
237,225.323583333333,23.0738611111111,False,True,False,False,False,False
238,126.957,29.508,False,True,False,False,True,False
239,358.552833333333,23.71575,False,False,False,False,True,False
240,347.700291666667,29.5981666666667,False,False,True,False,False,False
241,129.216,20.992,False,True,True,False,True,False
242,118.927004166667,23.562,False,True,False,False,False,False
243,329.621833333333,-4.71094444444444,False,True,False,False,False,False
244,137.431208333333,23.233,False,True,False,False,False,False
245,214.231375,15.6251111111111,False,True,False,False,False,False
246,168.23575,-5.87422222222222,False,False,True,False,False,False
247,200.635458333333,24.0755555555556,False,True,False,False,False,False
248,187.03475,25.5601944444444,False,True,False,False,False,False
249,154.411916666667,6.05744444444444,False,False,True,False,False,False
250,124.135625,7.39825,False,False,False,False,True,False
251,342.47125,14.9773055555556,False,False,True,False,False,False
252,145.804,3.116,False,True,True,False,True,False
253,347.986995833333,-14.433,False,True,False,False,True,False
254,165.165,31.473,False,True,True,False,True,False
255,109.3635,32.2024722222222,False,True,False,False,False,False
256,132.665,0.0,False,True,True,False,True,False
257,134.623,26.125,False,True,True,False,True,False
258,237.849,-1.333,False,False,True,False,True,False
259,227.874958333333,33.3883888888889,False,False,True,False,False,False
260,355.588004166667,22.584,False,True,True,False,True,False
261,198.259333333333,33.4125555555556,False,True,False,False,False,False
262,200.982208333333,6.05005555555556,False,True,False,False,False,False
263,127.877583333333,22.2808611111111,False,False,False,False,True,False
264,332.108791666667,6.22125,False,True,False,False,False,False
265,129.282083333333,-1.71722222222222,False,False,False,False,True,False
266,324.209291666667,-14.1676388888889,False,True,False,False,False,False
267,23.1846666666667,15.2525,False,True,False,False,False,False
268,141.664125,4.75572222222222,False,False,True,False,False,False
269,29.7559166666667,17.2059444444444,False,False,True,False,False,False
270,156.847004166667,34.025,False,True,True,False,True,False
271,211.546541666667,24.85275,False,True,False,False,False,False
272,325.231541666667,-12.5886666666667,False,False,False,False,True,False
273,207.586916666667,-4.7665,False,False,True,False,False,False
274,344.581916666667,14.8995277777778,False,False,False,False,True,False
275,342.31375,27.2605555555556,False,False,True,False,False,False
276,217.762004166667,31.111,False,True,True,False,False,False
277,193.279004166667,23.211,False,True,True,False,False,False
278,325.288995833333,17.307,False,True,False,False,True,False
279,42.7396666666667,8.13047222222222,False,True,False,False,False,False
280,206.947166666667,1.54894444444444,False,True,False,False,False,False
281,61.0270833333333,-1.74208333333333,False,False,False,False,True,False
282,146.636708333333,15.6634722222222,False,True,False,False,False,False
283,234.352,11.913,False,True,True,False,True,False
284,182.159375,4.09469444444444,False,True,False,False,False,False
285,333.889004166667,3.089,False,True,False,False,False,False
286,64.0466666666667,-9.69572222222222,False,False,False,False,True,False
287,132.352083333333,24.3131944444444,False,True,False,False,False,False
288,213.855791666667,7.92688888888889,False,True,False,False,False,False
289,125.544,4.549,False,True,True,False,True,False
290,214.080583333333,11.0740277777778,False,False,True,False,False,False
291,347.699,20.446,False,False,False,False,True,False
292,345.406791666667,-10.2143888888889,False,False,True,False,False,False
293,142.37875,17.2355277777778,False,True,False,False,False,False
294,134.09625,31.9496944444444,False,True,False,False,False,False
295,186.805,2.737,False,True,False,False,True,False
296,158.193625,30.7296944444444,False,True,False,False,False,False
297,215.290666666667,-1.59280555555556,False,False,True,False,False,False
298,170.381166666667,27.4070833333333,False,False,False,False,True,False
299,119.772333333333,25.1016666666667,False,False,False,False,True,False
300,194.74,20.4768888888889,False,False,True,False,False,False
301,138.373125,34.0593333333333,False,True,False,False,False,False
302,318.393,-12.64,False,True,True,False,True,False
303,173.964458333333,31.5251111111111,False,True,False,False,False,False
304,68.4527083333333,-9.07836111111111,False,True,False,False,False,False
305,153.344458333333,1.47622222222222,False,True,False,False,False,False
306,249.814375,-0.0440555555555556,False,False,True,False,False,False
307,232.980416666667,22.25,False,False,False,False,True,False
308,197.119666666667,-4.57944444444444,False,False,False,False,True,False
309,335.37175,-7.96191666666667,False,True,False,False,False,False
310,353.137208333333,4.37888888888889,False,False,False,False,True,False
311,139.324995833333,14.145,False,True,True,False,True,False
312,201.001995833333,25.863,False,True,False,False,True,False
313,322.327083333333,17.4425,False,False,False,False,True,False
314,129.522458333333,6.27172222222222,False,False,False,False,True,False
315,243.461166666667,33.1831666666667,False,False,False,False,True,False
316,220.134208333333,26.4049722222222,False,False,True,False,False,False
317,324.4515,3.30819444444444,False,True,False,False,False,False
318,181.528208333333,-8.4795,False,False,False,False,True,False
319,39.829,21.90725,False,False,False,False,True,False
320,27.4772083333333,31.1338888888889,False,False,False,False,True,False
321,316.7985,-4.79497222222222,False,False,True,False,False,False
322,178.037,18.058,False,False,False,False,True,False
323,337.357625,32.4159444444444,False,False,False,False,True,False
324,5.380625,14.1406666666667,False,True,False,False,False,False
325,317.766,-11.092,False,True,True,False,True,False
326,259.305791666667,19.8906111111111,False,False,True,False,False,False
327,69.0086666666667,-3.71391666666667,False,True,False,False,False,False
328,179.998833333333,9.73080555555556,False,True,False,False,False,False
329,150.838,24.895,False,True,True,False,True,False
330,194.031541666667,11.7115277777778,False,True,False,False,False,False
331,222.974875,15.6508055555556,False,False,True,False,False,False
332,352.228125,-2.71102777777778,False,False,False,False,True,False
333,359.99775,-6.95247222222222,False,False,True,False,False,False
334,249.481083333333,32.9014166666667,False,True,False,False,False,False
335,4.40266666666667,12.7041666666667,False,True,False,False,False,False
336,0.2915,31.8023611111111,False,True,False,False,False,False
337,139.810125,20.2975277777778,False,True,False,False,False,False
338,255.209625,15.4184444444444,False,False,False,False,True,False
