exposure,ifilter,ra_center,dec_center,OBJECT,EXPNUM
90.0,z,288.307833333333,-30.6133611111111,DELVE field: 12016-01-z,1035391
90.0,z,289.980708333333,-37.1736111111111,DELVE field: 12864-01-z,1035397
90.0,i,86.2710833333333,-8.32225,DELVE field: 5782-03-i,957925
300.0,i,2.47254166666667,-41.7746944444444,DELVE field: 100301-07-i,957905
300.0,i,4.79679166666667,-41.7408333333333,DELVE field: 100302-06-i,957911
300.0,i,2.65133333333333,-41.77575,DELVE field: 100301-03-i,957901
90.0,i,329.626666666667,-4.70961111111111,DELVE field: 11840-01-i,957888
90.0,i,127.604791666667,-4.47947222222222,DELVE field: 14294-02-i,957837
90.0,i,134.120916666667,-4.48344444444444,DELVE field: 15646-02-i,957846
90.0,i,125.789958333333,-18.9374444444444,DELVE field: 14401-02-i,957828
90.0,i,325.467833333333,-5.22158333333333,DELVE field: 11797-02-i,957875
90.0,i,130.386875,-12.1056111111111,DELVE field: 14388-02-i,957823
90.0,i,328.822708333333,-3.16008333333333,DELVE field: 11841-01-i,957872
90.0,z,240.213458333333,-17.4878611111111,DELVE field: 2545-02-z,1035379
90.0,z,244.389125,-14.7546944444444,DELVE field: 6404-02-z,1035382
333.0,i,106.953625,-57.3074166666667,DELVE field: 12196-03-i,957789
90.0,i,127.115291666667,-17.65375,DELVE field: 14402-02-i,957803
90.0,i,120.106166666667,-52.2803611111111,DELVE field: 12255-04-i,957777
90.0,z,315.831541666667,-36.8844444444444,DELVE field: 5575-01-z,1035511
90.0,z,312.307458333333,-37.9824166666667,DELVE field: 12964-01-z,1035502
90.0,z,312.12875,-33.3918888888889,DELVE field: 819-01-z,1035507
90.0,z,311.398916666667,-31.7827222222222,DELVE field: 812-01-z,1035506
90.0,z,309.34025,-31.4901666666667,DELVE field: 801-01-z,1035504
90.0,i,64.6884583333333,-8.08311111111111,DELVE field: 5596-04-i,957708
90.0,i,330.068416666667,-37.2237777777778,DELVE field: 5508-03-i,957690
90.0,i,61.205375,-3.56663888888889,DELVE field: 5580-04-i,957713
90.0,i,333.308916666667,-38.7210277777778,DELVE field: 5487-03-i,957692
90.0,i,326.943583333333,-35.6677222222222,DELVE field: 5526-03-i,957684
90.0,i,319.936958333333,-18.5619722222222,DELVE field: 744-03-i,957666
90.0,z,303.770208333333,-31.9838333333333,DELVE field: 769-01-z,1035493
90.0,i,319.083125,-17.7437222222222,DELVE field: 743-02-i,957658
90.0,z,300.186375,-32.6564166666667,DELVE field: 12892-01-z,1035480
90.0,z,307.923666666667,-37.2791111111111,DELVE field: 12960-01-z,1035498
90.0,i,165.871083333333,-16.4278333333333,DELVE field: 7029-03-i,958044
90.0,z,301.685958333333,-31.5320833333333,DELVE field: 749-01-z,1035482
90.0,i,89.1165,-12.0066666666667,DELVE field: 5801-03-i,957931
90.0,i,330.928208333333,-12.9088888888889,DELVE field: 13925-02-i,957887
90.0,z,304.923541666667,-39.7206666666667,DELVE field: 12949-01-z,1035488
90.0,i,86.412125,-8.38169444444445,DELVE field: 5782-02-i,957922
90.0,z,305.060333333333,-35.2266666666667,DELVE field: 12942-01-z,1035491
90.0,i,132.107083333333,-16.6578055555556,DELVE field: 14443-02-i,957825
90.0,z,300.777416666667,-34.2816944444444,DELVE field: 12911-01-z,1035479
90.0,i,324.061625,-13.0999166666667,DELVE field: 11737-02-i,957882
90.0,i,125.923875,-4.43127777777778,DELVE field: 14312-02-i,957836
90.0,i,122.792041666667,-52.9542222222222,DELVE field: 12254-04-i,957776
90.0,z,308.669166666667,-38.9301666666667,DELVE field: 12958-01-z,1035499
90.0,i,87.2186666666666,-0.936666666666667,DELVE field: 5696-01-i,957740
90.0,i,67.97,-6.41452777777778,DELVE field: 5617-04-i,957719
90.0,i,98.60375,-19.1396944444444,DELVE field: 9517-03-i,957750
90.0,i,95.6122916666666,-20.0096666666667,DELVE field: 9533-04-i,957754
90.0,i,320.13825,-30.8374166666667,DELVE field: 5552-03-i,957675
90.0,i,331.509541666667,-37.5707222222222,DELVE field: 5508-04-i,957697
90.0,z,288.374166666667,-35.704,DELVE field: 12843-02-z,1035440
90.0,z,298.093916666667,-32.1296944444444,DELVE field: 12869-01-z,1035471
90.0,z,287.440375,-39.9253611111111,DELVE field: 12885-02-z,1035436
90.0,z,287.340625,-23.2396388888889,DELVE field: 1536-02-z,1035447
90.0,z,289.926125,-19.71225,DELVE field: 1553-02-z,1035456
90.0,z,299.822833333333,-37.0296388888889,DELVE field: 12926-01-z,1035474
90.0,z,294.955541666667,-34.2221666666667,DELVE field: 12867-01-z,1035461
90.0,z,289.227041666667,-39.0050555555556,DELVE field: 12886-02-z,1035438
90.0,z,296.014708333333,-31.5648611111111,DELVE field: 12847-01-z,1035469
90.0,z,290.303333333333,-21.3751388888889,DELVE field: 1534-02-z,1035457
90.0,z,302.018708333333,-37.5632222222222,DELVE field: 12940-01-z,1035477
90.0,z,288.13125,-18.9568055555556,DELVE field: 1552-02-z,1035450
90.0,z,295.48025,-35.8608055555556,DELVE field: 12889-01-z,1035462
90.0,z,288.833041666667,-22.3125833333333,DELVE field: 1535-02-z,1035448
90.0,z,288.815625,-29.8456666666667,DELVE field: 1455-02-z,1035444
90.0,z,287.972125,-34.0603333333333,DELVE field: 11983-02-z,1035441
90.0,z,289.211125,-16.3405555555556,DELVE field: 1508-02-z,1035453
90.0,z,282.146583333333,-33.4807222222222,DELVE field: 12019-02-z,1035416
90.0,z,286.34975,-16.1739722222222,DELVE field: 1528-03-z,1035411
90.0,z,285.905083333333,-33.3380833333333,DELVE field: 12000-02-z,1035431
90.0,z,284.192833333333,-34.2364166666667,DELVE field: 12001-02-z,1035422
90.0,z,285.2315,-39.1678611111111,DELVE field: 11957-02-z,1035434
90.0,z,293.335291666667,-35.2336388888889,DELVE field: 12866-01-z,1035405
90.0,z,289.541458333333,-35.5314722222222,DELVE field: 12843-01-z,1035394
90.0,z,280.035375,-39.9474444444444,DELVE field: 11973-03-z,1035408
90.0,z,288.668208333333,-39.7597777777778,DELVE field: 12885-01-z,1035396
90.0,z,288.240166666667,-38.1092222222222,DELVE field: 12863-01-z,1035395
333.0,i,39.1433333333333,-83.4365833333333,DELVE field: 15529-02-i,948763
90.0,z,241.682875,-12.7541388888889,DELVE field: 6385-02-z,1035381
90.0,z,243.033375,-13.7634722222222,DELVE field: 6394-02-z,1035380
90.0,z,286.675958333333,-31.5443888888889,DELVE field: 12017-01-z,1035390
90.0,z,253.436958333333,-19.0394722222222,DELVE field: 6496-03-z,1035383
267.0,r,122.06425,-59.2374722222222,DELVE field: 12201-02-r,957790
90.0,i,146.875791666667,-10.5699722222222,DELVE field: 15733-02-i,958011
90.0,i,149.95725,-14.3661944444444,DELVE field: 7039-03-i,958036
90.0,i,168.733875,-14.7644166666667,DELVE field: 7009-03-i,958042
90.0,i,122.452083333333,-10.3634444444444,DELVE field: 14318-03-i,957962
90.0,i,123.295291666667,-7.61563888888889,DELVE field: 14310-03-i,957974
90.0,i,141.115458333333,-9.15005555555556,DELVE field: 15683-02-i,957992
90.0,i,123.113791666667,-1.81691666666667,DELVE field: 15609-03-i,957983
90.0,i,122.808333333333,-6.11127777777778,DELVE field: 14303-03-i,957975
90.0,i,118.76875,-3.75058333333333,DELVE field: 9282-03-i,957956
90.0,i,78.086,-5.57430555555556,DELVE field: 5732-04-i,957939
90.0,i,83.5452916666666,-4.60708333333333,DELVE field: 5760-03-i,957928
90.0,i,83.56075,-9.25677777777778,DELVE field: 5810-04-i,957935
90.0,i,121.100291666667,-11.54325,DELVE field: 14317-03-i,957950
300.0,i,0.151416666666667,-39.1025833333333,DELVE field: 100306-06-i,957890
90.0,i,326.229291666667,-6.79422222222222,DELVE field: 11796-02-i,957876
90.0,i,327.483791666667,-13.02525,DELVE field: 11772-02-i,957885
300.0,i,7.21125,-39.1527777777778,DELVE field: 100309-02-i,957893
90.0,i,127.86175,-14.8296666666667,DELVE field: 14386-02-i,957814
90.0,i,130.272041666667,-16.5203055555556,DELVE field: 14422-02-i,957820
90.0,i,133.412708333333,-2.87977777777778,DELVE field: 15647-02-i,957847
90.0,i,124.748291666667,-1.32302777777778,DELVE field: 15612-02-i,957842
90.0,i,128.419375,-16.344,DELVE field: 14403-02-i,957819
90.0,i,89.3050833333333,-12.9203333333333,DELVE field: 5814-04-i,957762
333.0,i,111.704458333333,-55.4983611111111,DELVE field: 12215-03-i,957782
90.0,i,98.2965416666666,-15.6113888888889,DELVE field: 9486-03-i,957749
90.0,i,96.701875,-14.7249444444444,DELVE field: 9485-03-i,957743
90.0,i,98.15,-13.8288055555556,DELVE field: 9466-03-i,957748
90.0,i,84.8654166666667,-7.39583333333333,DELVE field: 5781-03-i,957733
90.0,i,329.421083333333,-37.5866666666667,DELVE field: 5527-04-i,957696
90.0,i,59.9180833333333,-2.59647222222222,DELVE field: 5577-04-i,957714
90.0,i,64.1009166666667,-3.64686111111111,DELVE field: 5591-04-i,957711
90.0,i,69.2552916666667,-15.2267777777778,DELVE field: 5638-04-i,957723
90.0,i,55.6617083333333,-10.4105277777778,DELVE field: 8521-04-i,957700
90.0,i,322.021083333333,-23.1843055555556,DELVE field: 747-03-i,957669
90.0,i,317.984083333333,-6.85422222222222,DELVE field: 11710-02-i,957651
90.0,i,169.66525,-15.2058055555556,DELVE field: 6992-02-i,958041
90.0,i,150.826083333333,-15.0567222222222,DELVE field: 7038-02-i,958019
90.0,i,150.699333333333,-15.8840833333333,DELVE field: 7038-03-i,958037
90.0,i,120.998958333333,-5.84427777777778,DELVE field: 14296-03-i,957959
90.0,i,117.161916666667,-2.89527777777778,DELVE field: 9281-03-i,957954
90.0,i,139.090416666667,-12.2980833333333,DELVE field: 15653-02-i,957984
90.0,i,123.443708333333,-13.3867222222222,DELVE field: 14340-03-i,957964
90.0,i,145.183625,-10.6232777777778,DELVE field: 15715-02-i,958005
300.0,i,7.12454166666667,-39.1020833333333,DELVE field: 100309-06-i,957897
300.0,i,4.97475,-41.7412222222222,DELVE field: 100302-04-i,957909
300.0,i,2.64633333333333,-36.4937777777778,DELVE field: 100313-03-i,957915
300.0,i,2.562125,-41.7261111111111,DELVE field: 100301-05-i,957903
90.0,i,326.981333333333,-8.34927777777778,DELVE field: 11795-02-i,957877
90.0,i,130.95125,-13.6204444444444,DELVE field: 14405-02-i,957822
90.0,i,108.06075,-42.3269722222222,DELVE field: 12334-04-i,957773
90.0,i,135.16975,-19.8250277777778,DELVE field: 14506-02-i,957798
90.0,i,80.5065833333333,-11.0647777777778,DELVE field: 5773-04-i,957767
90.0,i,67.6575416666667,-8.19547222222222,DELVE field: 5616-04-i,957720
90.0,i,87.654375,-11.0911388888889,DELVE field: 5800-03-i,957730
90.0,i,95.5270833333333,-18.2533333333333,DELVE field: 9525-04-i,957757
90.0,i,83.5455416666667,-4.61361111111111,DELVE field: 5760-03-i,957735
90.0,i,320.488333333333,-38.5803888888889,DELVE field: 5568-03-i,957680
90.0,i,64.2750416666667,-9.76158333333333,DELVE field: 5595-04-i,957707
90.0,i,63.3842083333333,-13.0173611111111,DELVE field: 5593-04-i,957705
90.0,i,328.987416666667,-35.6554722222222,DELVE field: 5507-03-i,957689
90.0,i,320.9865,-32.4154444444444,DELVE field: 5553-03-i,957676
90.0,i,321.8775,-33.99975,DELVE field: 5554-03-i,957677
90.0,i,321.307875,-21.6387777777778,DELVE field: 746-03-i,957668
90.0,i,144.203625,-12.2121388888889,DELVE field: 15697-02-i,958003
90.0,i,141.809666666667,-10.70575,DELVE field: 15682-02-i,957991
90.0,i,152.768791666667,-11.8693611111111,DELVE field: 7083-02-i,958025
90.0,i,153.717958333333,-10.2835555555556,DELVE field: 7103-02-i,958028
90.0,i,149.517208333333,-8.91186111111111,DELVE field: 15775-02-i,958014
90.0,i,137.23175,-12.9946111111111,DELVE field: 14468-03-i,957985
90.0,i,117.480583333333,-4.67561111111111,DELVE field: 9288-03-i,957953
90.0,i,122.945625,-11.8733888888889,DELVE field: 14328-03-i,957963
90.0,i,121.963208333333,-8.85730555555556,DELVE field: 14309-03-i,957961
300.0,i,4.88741666666667,-41.7580833333333,DELVE field: 100302-01-i,957906
90.0,i,86.4114166666667,-0.906166666666667,DELVE field: 5696-03-i,957929
300.0,i,2.56220833333333,-41.7584722222222,DELVE field: 100301-01-i,957899
300.0,i,0.1495,-39.1361666666667,DELVE field: 100306-07-i,957891
90.0,z,315.003791666667,-35.2653888888889,DELVE field: 279-01-z,1035512
90.0,z,314.504708333333,-38.2648888888889,DELVE field: 12963-01-z,1035510
90.0,i,76.1891666666667,-10.1201944444444,DELVE field: 5709-04-i,957943
90.0,z,307.212375,-35.6411388888889,DELVE field: 12953-01-z,1035497
90.0,z,310.900166666667,-39.2999444444444,DELVE field: 12957-01-z,1035501
90.0,z,310.113083333333,-37.6521111111111,DELVE field: 12965-01-z,1035500
90.0,z,312.886166666667,-35.0111111111111,DELVE field: 12967-01-z,1035508
90.0,z,306.442458333333,-38.5143888888889,DELVE field: 12959-01-z,1035489
90.0,z,302.913791666667,-34.7738333333333,DELVE field: 12928-01-z,1035484
90.0,z,305.214833333333,-30.7885,DELVE field: 770-01-z,1035494
90.0,z,299.610958333333,-31.0405833333333,DELVE field: 726-01-z,1035481
90.0,z,298.826166666667,-39.7803888888889,DELVE field: 12938-01-z,1035475
90.0,z,287.831833333333,-36.4636944444444,DELVE field: 11969-01-z,1035388
90.0,z,281.181208333333,-39.2605,DELVE field: 11972-02-z,1035387
90.0,z,280.383916666667,-34.35525,DELVE field: 12020-02-z,1035384
90.0,z,287.432125,-34.8243333333333,DELVE field: 11984-01-z,1035389
90.0,z,280.638291666667,-35.9929722222222,DELVE field: 12003-02-z,1035385
90.0,z,280.903458333333,-37.6273055555556,DELVE field: 11987-02-z,1035386
90.0,z,300.44275,-38.6873611111111,DELVE field: 12939-01-z,1035476
90.0,z,297.549041666667,-30.5124722222222,DELVE field: 704-01-z,1035470
90.0,z,298.652375,-33.7540277777778,DELVE field: 12891-01-z,1035472
90.0,z,298.225833333333,-38.1151944444444,DELVE field: 12925-01-z,1035465
90.0,i,123.676666666667,-2.82341666666667,DELVE field: 14298-02-i,957834
90.0,i,327.159875,-3.17647222222222,DELVE field: 11819-01-i,957873
333.0,i,116.649583333333,-55.3241388888889,DELVE field: 12226-03-i,957781
90.0,i,127.316375,-13.3202222222222,DELVE field: 14370-02-i,957815
333.0,i,104.396958333333,-58.14,DELVE field: 12189-03-i,957788
90.0,i,96.5822916666666,-12.9336666666667,DELVE field: 9465-03-i,957744
90.0,i,111.328666666667,-46.4872777777778,DELVE field: 12293-04-i,957770
90.0,i,86.430375,-0.972472222222222,DELVE field: 5696-02-i,957738
90.0,i,58.64275,-1.33902777777778,DELVE field: 8482-04-i,957715
90.0,i,323.920333333333,-34.0623888888889,DELVE field: 5541-03-i,957686
90.0,i,60.21,-0.830944444444444,DELVE field: 5578-04-i,957716
90.0,i,67.8875,-14.2850277777778,DELVE field: 5625-04-i,957722
90.0,i,322.999666666667,-32.4829444444444,DELVE field: 5540-03-i,957688
90.0,i,324.883666666667,-35.647,DELVE field: 5542-03-i,957683
90.0,z,296.023958333333,-37.5088611111111,DELVE field: 12908-01-z,1035463
90.0,i,317.825208333333,-14.6576666666667,DELVE field: 741-02-i,957656
90.0,i,320.614125,-20.0978888888889,DELVE field: 745-03-i,957667
90.0,g,299.450875,-25.1430555555556,DELVE field: 668-01-g,861000
90.0,z,299.226041666667,-35.3865833333333,DELVE field: 12910-01-z,1035473
90.0,z,287.579708333333,-32.4193611111111,DELVE field: 11999-02-z,1035442
90.0,z,287.689833333333,-24.9046666666667,DELVE field: 1514-02-z,1035446
90.0,z,288.475333333333,-20.6416666666667,DELVE field: 1554-02-z,1035449
90.0,z,290.604625,-15.4195,DELVE field: 1488-02-z,1035454
90.0,z,292.372875,-16.16375,DELVE field: 1489-02-z,1035452
90.0,z,287.200958333333,-30.7772222222222,DELVE field: 12016-02-z,1035443
90.0,z,293.314833333333,-15.9538611111111,DELVE field: 1489-01-z,1035451
90.0,z,288.426041666667,-28.2046944444444,DELVE field: 1473-02-z,1035445
90.0,z,288.794541666667,-37.3501111111111,DELVE field: 12864-02-z,1035439
90.0,z,286.483333333333,-27.4808888888889,DELVE field: 1494-02-z,1035428
90.0,i,151.043083333333,-11.9491944444444,DELVE field: 7061-02-i,958017
90.0,i,135.011,-2.85652777777778,DELVE field: 15659-02-i,957996
90.0,i,142.98625,-5.94986111111111,DELVE field: 15718-02-i,958008
90.0,i,120.521625,-4.33091666666667,DELVE field: 14292-03-i,957977
90.0,i,125.289,-13.6520277777778,DELVE field: 14354-03-i,957970
90.0,i,126.331958333333,-16.6901388888889,DELVE field: 14385-03-i,957968
90.0,i,84.9938333333333,-7.47013888888889,DELVE field: 5781-02-i,957921
90.0,i,90.5824583333333,-9.27602777777778,DELVE field: 9461-03-i,957930
90.0,i,86.432875,-0.96125,DELVE field: 5696-02-i,957920
90.0,i,329.2035,-12.9716388888889,DELVE field: 11792-02-i,957886
300.0,i,4.88541666666667,-41.7242222222222,DELVE field: 100302-05-i,957910
90.0,i,326.035583333333,-9.93577777777778,DELVE field: 11774-02-i,957878
333.0,i,106.708333333333,-55.47325,DELVE field: 12206-03-i,957783
90.0,i,121.579583333333,-6.85966666666667,DELVE field: 14302-02-i,957829
333.0,i,119.1265,-58.8086111111111,DELVE field: 12202-01-i,957779
90.0,i,124.187708333333,-4.32252777777778,DELVE field: 14304-02-i,957835
333.0,i,121.369166666667,-57.4123611111111,DELVE field: 12212-02-i,957775
90.0,i,98.674875,-18.2224444444444,DELVE field: 9516-04-i,957752
90.0,i,109.372958333333,-47.3893333333333,DELVE field: 12276-04-i,957769
90.0,i,86.4151666666667,-0.912416666666667,DELVE field: 5696-03-i,957739
90.0,i,110.8425,-44.7800833333333,DELVE field: 12312-04-i,957771
90.0,i,119.396166666667,-50.5140277777778,DELVE field: 12272-04-i,957778
90.0,i,84.872625,-11.9943333333333,DELVE field: 5822-04-i,957765
90.0,i,87.8435416666667,-9.29877777777778,DELVE field: 5783-02-i,957729
90.0,i,86.384875,-10.2214444444444,DELVE field: 5799-02-i,957725
90.0,i,320.496083333333,-27.7720833333333,DELVE field: 785-03-i,957673
90.0,i,324.998166666667,-32.5160277777778,DELVE field: 5524-03-i,957687
90.0,i,317.495666666667,-16.9983888888889,DELVE field: 762-03-i,957662
90.0,i,318.139416666667,-18.53175,DELVE field: 763-03-i,957663
90.0,z,285.554208333333,-31.6931944444444,DELVE field: 12017-02-z,1035430
90.0,z,294.364541666667,-38.5309722222222,DELVE field: 12907-01-z,1035437
90.0,z,282.435291666667,-35.1223055555556,DELVE field: 12002-02-z,1035417
90.0,z,282.736333333333,-36.7602222222222,DELVE field: 11986-02-z,1035418
90.0,z,283.56125,-30.9435277777778,DELVE field: 12036-02-z,1035424
90.0,i,152.932333333333,-8.77652777777778,DELVE field: 7104-02-i,958027
90.0,i,143.496416666667,-10.6681944444444,DELVE field: 15698-02-i,958001
90.0,i,153.34025,-16.4588055555556,DELVE field: 7058-02-i,958021
90.0,i,138.764041666667,-7.60952777777778,DELVE field: 15669-02-i,957990
90.0,i,120.061166666667,-2.78666666666667,DELVE field: 14289-03-i,957978
90.0,i,140.123958333333,-10.7336944444444,DELVE field: 15667-02-i,957988
90.0,i,124.4635,-16.42625,DELVE field: 14368-03-i,957966
90.0,i,121.840625,-3.09438888888889,DELVE field: 14293-03-i,957982
90.0,i,76.7422083333333,-4.65002777777778,DELVE field: 5712-04-i,957940
90.0,i,117.88225,-6.36275,DELVE field: 9296-03-i,957952
90.0,i,84.964875,-10.1733611111111,DELVE field: 5811-04-i,957934
300.0,i,7.125875,-39.1353055555556,DELVE field: 100309-07-i,957898
300.0,i,7.21104166666667,-39.1200555555556,DELVE field: 100309-01-i,957892
90.0,i,326.759958333333,-11.4861666666667,DELVE field: 11773-02-i,957879
90.0,i,129.702125,-15.0047777777778,DELVE field: 14404-02-i,957818
90.0,i,127.68275,-19.1778055555556,DELVE field: 14420-02-i,957827
90.0,i,131.516458333333,-6.07716666666667,DELVE field: 15626-02-i,957845
90.0,i,322.353625,-13.1216666666667,DELVE field: 11721-02-i,957883
333.0,i,101.697458333333,-58.9219444444444,DELVE field: 12183-03-i,957787
333.0,i,114.438833333333,-56.3484444444444,DELVE field: 12214-03-i,957791
90.0,i,89.1155,-12.0124722222222,DELVE field: 5801-03-i,957731
90.0,i,95.0437916666666,-12.02825,DELVE field: 9464-03-i,957741
90.0,i,65.0622916666667,-6.35297222222222,DELVE field: 5597-04-i,957709
90.0,i,62.8186666666667,-2.72122222222222,DELVE field: 5585-04-i,957712
90.0,i,320.208791666667,-16.2251388888889,DELVE field: 720-02-i,957664
90.0,i,318.926875,-13.1310833333333,DELVE field: 11693-02-i,957655
90.0,i,316.680208333333,-16.1550277777778,DELVE field: 761-02-i,957661
90.0,i,150.281416666667,-10.4341388888889,DELVE field: 15774-02-i,958016
90.0,i,154.656583333333,-8.70755555555555,DELVE field: 7120-02-i,958029
90.0,i,141.341208333333,-5.98097222222222,DELVE field: 15701-02-i,957998
90.0,i,140.414541666667,-7.58377777777778,DELVE field: 15684-02-i,957993
90.0,i,140.797458333333,-12.28125,DELVE field: 15666-02-i,957987
90.0,i,169.502291666667,-19.0256111111111,DELVE field: 6977-03-i,958040
90.0,i,121.345333333333,-1.53872222222222,DELVE field: 14290-03-i,957981
90.0,i,79.125,-10.1442222222222,DELVE field: 5751-04-i,957946
